promotion_id,name,description,discount_type,discount_value,start_date,end_date,min_order_value,max_discount,restaurant_id,is_active
1,Welcome10,10% off on your first order,percentage,10,2023-01-01,2023-12-31,100,50,NULL,1
2,FreeDelivery,Free delivery on all orders,fixed,15,2023-01-01,2023-06-30,200,15,NULL,1
3,WeekendSpecial,20% off on weekend orders,percentage,20,2023-01-06,2023-12-31,150,100,NULL,1
4,LunchCombo,Buy 1 Get 1 Free on lunch combos,bogo,100,2023-01-01,2023-03-31,300,150,5,1
5,DinnerDelight,15% off on dinner orders after 7 PM,percentage,15,2023-02-01,2023-04-30,250,75,NULL,1
6,BirthdayBonus,25% off on your birthday,percentage,25,2023-01-01,2023-12-31,0,200,NULL,1
7,NewRestaurant,30% off on orders from new restaurants,percentage,30,2023-03-01,2023-05-31,200,150,8,1
8,AppExclusive,5% extra discount on app orders,percentage,5,2023-01-01,2023-12-31,100,50,NULL,1
9,ReferralReward,₹100 off for referring a friend,fixed,100,2023-01-01,2023-12-31,300,100,NULL,1
10,SeasonalOffer,25% off on seasonal items,percentage,25,2023-04-01,2023-06-30,200,125,NULL,1
11,FlashSale,40% off for 2 hours only,percentage,40,2023-03-15,2023-03-15,250,200,NULL,0
12,BulkOrder,10% off on orders above ₹1000,percentage,10,2023-01-01,2023-12-31,1000,200,NULL,1
13,CorporateDiscount,15% off for corporate orders,percentage,15,2023-01-01,2023-12-31,500,300,NULL,1
14,HealthyChoice,20% off on salads and healthy options,percentage,20,2023-02-15,2023-05-15,150,100,12,1
15,EarlyBird,25% off on orders before 11 AM,percentage,25,2023-03-01,2023-06-30,200,150,NULL,1
